nutrient_nbr,id,name,unit_name,rank,target,ll,ul,,,,
203,1003,Protein,G,600,,62.5,218.75,,,,
204,1004,Total lipid (fat),G,800,,55.55555556,97.22222222,,,energy,2500
205,1005,"Carbohydrate, by difference",G,1110,,281.25,406.25,,,carb_ll,0.45
208,1008,Energy,KCAL,300,2500,,,,,carb_ul,0.65
221,1018,"Alcohol, ethyl",G,18200,,,,,,protein_ll,0.1
255,1051,Water,G,100,,,,,,protein_ul,0.35
262,1057,Caffeine,MG,18300,,,400,,,fat_ll,0.2
263,1058,Theobromine,MG,18400,,,,,,fat_ul,0.35
291,1079,"Fiber, total dietary",G,1200,,35,,,,fiber_per_1000_kcal,14
301,1087,"Calcium, Ca",MG,5300,,1000,,,,saturated_fat_ul,0.1
303,1089,"Iron, Fe",MG,5400,,8,,,,,
304,1090,"Magnesium, Mg",MG,5500,,400,,,,,
305,1091,"Phosphorus, P",MG,5600,,700,,,,,
306,1092,"Potassium, K",MG,5700,,4700,,,,,
307,1093,"Sodium, Na",MG,5800,,,2300,,,,
309,1095,"Zinc, Zn",MG,5900,,11,,,,,
312,1098,"Copper, Cu",MG,6000,,0.9,,,,,
317,1103,"Selenium, Se",UG,6200,,55,,,,,
319,1105,Retinol,UG,7430,,900,,,,,
320,1106,"Vitamin A, RAE",UG,7420,,700,3000,,,,
321,1107,"Carotene, beta",UG,7440,,2500,,,,,
322,1108,"Carotene, alpha",UG,7450,,1500,,,,,
323,1109,Vitamin E (alpha-tocopherol),MG,7905,,15,,,,,
328,1114,Vitamin D (D2 + D3),UG,8700,,15,,,,,
334,1120,"Cryptoxanthin, beta",UG,7460,,,,,,,
337,1122,Lycopene,UG,7530,,8000,21000,,,,
338,1123,Lutein + zeaxanthin,UG,7560,,,,,,,
401,1162,"Vitamin C, total ascorbic acid",MG,6300,,90,,,,,
404,1165,Thiamin,MG,6400,,1.2,,,,,
405,1166,Riboflavin,MG,6500,,1.3,,,,,
406,1167,Niacin,MG,6600,,16,,,,,
415,1175,Vitamin B-6,MG,6800,,1.3,,,,,
417,1177,"Folate, total",UG,6900,,,,,,,
418,1178,Vitamin B-12,UG,7300,,2.4,,,,,
421,1180,"Choline, total",MG,7220,,550,,,,,
430,1185,Vitamin K (phylloquinone),UG,8800,,120,,,,,
431,1186,Folic acid,UG,7000,,,,,,,
432,1187,"Folate, food",UG,7100,,,,,,,
435,1190,"Folate, DFE",UG,7200,,400,,,,,
573,1242,"Vitamin E, added",MG,7920,,,,,,,
578,1246,"Vitamin B-12, added",UG,7340,,,,,,,
601,1253,Cholesterol,MG,15700,,,300,,,,
606,1258,"Fatty acids, total saturated",G,9700,,,27.77777778,,,,
607,1259,SFA 4:0,G,9800,,,,,,,
608,1260,SFA 6:0,G,9900,,,,,,,
609,1261,SFA 8:0,G,10000,,,,,,,
610,1262,SFA 10:0,G,10100,,,,,,,
611,1263,SFA 12:0,G,10300,,,,,,,
612,1264,SFA 14:0,G,10500,,,,,,,
613,1265,SFA 16:0,G,10700,,,,,,,
614,1266,SFA 18:0,G,10900,,,,,,,
617,1268,MUFA 18:1,G,12100,,,,,,,
618,1269,PUFA 18:2,G,13100,,16,,,,,
619,1270,PUFA 18:3,G,13900,,1.6,,,,,
620,1271,PUFA 20:4,G,14700,,,,,,,
621,1272,PUFA 22:6 n-3 (DHA),G,15300,,0.25,,,,,
626,1275,MUFA 16:1,G,11700,,,,,,,
627,1276,PUFA 18:4,G,14250,,,,,,,
628,1277,MUFA 20:1,G,12400,,,,,,,
629,1278,PUFA 20:5 n-3 (EPA),G,15000,,0.25,,500 mg combined with dpa,,,
630,1279,MUFA 22:1,G,12500,,,,,,,
631,1280,PUFA 22:5 n-3 (DPA),G,15200,,0.25,,500 mg combined with epa,,,
645,1292,"Fatty acids, total monounsaturated",G,11400,,,,,,,
646,1293,"Fatty acids, total polyunsaturated",G,12900,,,,,,,
269,2000,"Sugars, Total",G,1510,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,.,,,
